Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1025610  Y 1426159
X 1010471  Y 1426350
X 1003400  Y 1433421
X 1017542  Y 1433421
X 1010471  Y 1440492
X 1025610  Y 1440659
X 1003400  Y 1447563
X 1024613  Y 1454634
X 1010471  Y 1454634
X 1003400  Y 1461705
X 1010471  Y 1468776
X 1003400  Y 1475847
X 1017542  Y 1475847
X 1010471  Y 1482918
X 1017542  Y 1489989
X 1003400  Y 1489989
X 1010471  Y 1497060
X 1021610  Y 1497159
X 1003400  Y 1504131
X 1010471  Y 1511202
X 1014500  Y 1516500
X 1003400  Y 1518273
X 1010471  Y 1525345
X 1003400  Y 1532416
X 1010500  Y 1533000
X 1010471  Y 1539487
X 1024613  Y 1539487
X 1017500  Y 1541500
X 1038755  Y 1539487
X 1052897  Y 1539487
X 1035500  Y 1535000
X 1045826  Y 1532416
X 1038755  Y 1525345
X 1052897  Y 1525345
X 1031684  Y 1518273
X 1045826  Y 1518273
X 1038755  Y 1511202
X 1052897  Y 1511202
X 1031684  Y 1504131
X 1045826  Y 1504131
X 1038755  Y 1497060
X 1052897  Y 1497060
X 1031610  Y 1490659
X 1049610  Y 1486159
X 1031684  Y 1475847
X 1045826  Y 1475847
X 1038755  Y 1468776
X 1052897  Y 1468776
X 1031684  Y 1461705
X 1045826  Y 1461705
X 1038755  Y 1454634
X 1052897  Y 1454634
X 1031684  Y 1447563
X 1045826  Y 1447563
X 1038755  Y 1440492
X 1052897  Y 1440492
X 1045826  Y 1433421
X 1052897  Y 1426350
X 1035610  Y 1415159
X 1052897  Y 1412207
X 1031684  Y 1405136
X 1045826  Y 1405136
X 1038755  Y 1398065
X 1052897  Y 1398065
X 1031684  Y 1390994
X 1045826  Y 1390994
X 1038755  Y 1383923
X 1052897  Y 1383923
X 1031684  Y 1376852
X 1045826  Y 1376852
X 1045826  Y 1362710
X 1038755  Y 1355639
X 1052897  Y 1355639
X 1043117  Y 1349545
X 1045826  Y 1348568
X 1030508  Y 1346956
X 1050508  Y 1346952
X 1038755  Y 1341497
X 1050500  Y 1340000
X 1036300  Y 1339654
X 1045826  Y 1334426
X 1038755  Y 1327355
X 1052897  Y 1327355
X 1045826  Y 1320284
X 1038755  Y 1313212
X 1052897  Y 1313212
X 1031684  Y 1306141
X 1045826  Y 1306141
X 1038755  Y 1299070
X 1052897  Y 1299070
X 1031684  Y 1291999
X 1045826  Y 1291999
X 1038755  Y 1284928
X 1052897  Y 1284928
X 1031684  Y 1277857
X 1045826  Y 1277857
X 1052897  Y 1270786
X 1038755  Y 1270786
X 1031684  Y 1263715
X 1045826  Y 1263715
X 1038755  Y 1256644
X 1052897  Y 1256644
X 1031684  Y 1249573
X 1045826  Y 1249573
X 1038755  Y 1242502
X 1052897  Y 1242502
X 1045826  Y 1235431
X 1031684  Y 1235431
X 1052897  Y 1228360
X 1038755  Y 1228360
X 1045826  Y 1221289
X 1031684  Y 1221289
X 1052897  Y 1214218
X 1038755  Y 1214218
X 1045826  Y 1207146
X 1038710  Y 1201159
X 1052897  Y 1200075
X 1041810  Y 1197659
X 1037610  Y 1195359
X 1037110  Y 1187659
X 1052910  Y 1186359
X 1038755  Y 1171791
X 1045826  Y 1164720
X 1038755  Y 1157649
X 1052897  Y 1157649
X 1052897  Y 1143507
X 1046710  Y 1138993
X 1049400  Y 1136634
X 1031684  Y 1136436
X 1040800  Y 1136346
X 1053000  Y 1134538
X 1038755  Y 1129365
X 1045826  Y 1122294
X 1049400  Y 1120600
X 1053000  Y 1120500
X 1048654  Y 1106403
X 1037341  Y 1106403
X 1042997  Y 1100746
X 1048100  Y 1094500
X 1037341  Y 1083775
X 1049219  Y 1082393
X 1045459  Y 1081793
X 1049253  Y 1079393
X 1042997  Y 1078118
X 1049391  Y 1076393
X 1049353  Y 1072893
X 1037341  Y 1072462
X 1049354  Y 1069393
X 1042997  Y 1066805
X 1052610  Y 1065093
X 1037341  Y 1061148
X 1049710  Y 1060493
X 1037341  Y 1049834
X 1040910  Y 1048535
X 1031684  Y 1044177
X 1041159  Y 1043193
X 1037341  Y 1038521
X 1042997  Y 1032864
X 1031684  Y 1032864
X 1052910  Y 1028193
X 1031684  Y 1021550
X 1042997  Y 1021550
X 1048654  Y 1015893
X 1031684  Y 1010236
X 1037341  Y 1004579
X 1048654  Y 1004579
X 1059968  Y 1004579
X 1071282  Y 1004579
X 1054311  Y 1010236
X 1065625  Y 1010236
X 1076939  Y 1010236
X 1071282  Y 1015893
X 1059968  Y 1015893
X 1065625  Y 1021550
X 1071282  Y 1027207
X 1055310  Y 1028193
X 1063100  Y 1031900
X 1053910  Y 1033793
X 1065600  Y 1034800
X 1078000  Y 1034800
X 1069600  Y 1038300
X 1054110  Y 1040993
X 1053969  Y 1044193
X 1076200  Y 1044700
X 1054210  Y 1046893
X 1067310  Y 1048715
X 1054169  Y 1049832
X 1074010  Y 1051631
X 1069610  Y 1051830
X 1054183  Y 1052334
X 1061059  Y 1060493
X 1064359  Y 1060593
X 1057759  Y 1060593
X 1076610  Y 1063193
X 1074110  Y 1063193
X 1060759  Y 1066093
X 1076210  Y 1066193
X 1068500  Y 1070000
X 1065500  Y 1070000
X 1071500  Y 1070000
X 1068500  Y 1073500
X 1065500  Y 1073500
X 1071500  Y 1073500
X 1068500  Y 1076500
X 1071500  Y 1076500
X 1065500  Y 1076500
X 1077559  Y 1083893
X 1065259  Y 1084293
X 1074259  Y 1084393
X 1060459  Y 1084493
X 1069210  Y 1093459
X 1059510  Y 1094559
X 1055459  Y 1095193
X 1064810  Y 1095459
X 1077010  Y 1096559
X 1073410  Y 1097659
X 1063200  Y 1099000
X 1075110  Y 1099593
X 1059600  Y 1100700
X 1054311  Y 1100746
X 1059200  Y 1109000
X 1055500  Y 1109100
X 1063100  Y 1109700
X 1071400  Y 1120500
X 1068261  Y 1120683
X 1065100  Y 1120800
X 1062300  Y 1120800
X 1059000  Y 1120900
X 1057100  Y 1123100
X 1070393  Y 1123927
X 1069600  Y 1130200
X 1057005  Y 1132826
X 1069631  Y 1136838
X 1062814  Y 1138634
X 1058235  Y 1139773
X 1073800  Y 1140263
X 1055871  Y 1147316
X 1059968  Y 1150578
X 1073665  Y 1151172
X 1063759  Y 1152246
X 1067300  Y 1155061
X 1059968  Y 1164720
X 1067287  Y 1168052
X 1073724  Y 1168485
X 1076710  Y 1182759
X 1074610  Y 1186859
X 1059968  Y 1193004
X 1067300  Y 1193357
X 1063759  Y 1199593
X 1067300  Y 1206449
X 1059968  Y 1207146
X 1063759  Y 1215993
X 1059968  Y 1221289
X 1067300  Y 1224764
X 1063759  Y 1229593
X 1059968  Y 1235431
X 1067300  Y 1236679
X 1063759  Y 1244393
X 1067300  Y 1247454
X 1059968  Y 1249573
X 1063759  Y 1257993
X 1067300  Y 1261943
X 1073800  Y 1262500
X 1059968  Y 1263715
X 1071736  Y 1264530
X 1063759  Y 1272193
X 1074110  Y 1277857
X 1059968  Y 1277857
X 1067300  Y 1279844
X 1063759  Y 1284941
X 1071900  Y 1288700
X 1059968  Y 1291999
X 1063759  Y 1297564
X 1074110  Y 1306141
X 1067300  Y 1309501
X 1074110  Y 1320284
X 1067300  Y 1320383
X 1059968  Y 1334426
X 1072400  Y 1335600
X 1067039  Y 1341497
X 1060508  Y 1346976
X 1070508  Y 1347070
X 1077200  Y 1349500
X 1067039  Y 1355639
X 1059968  Y 1376852
X 1074110  Y 1376852
X 1067039  Y 1383923
X 1059968  Y 1390994
X 1074110  Y 1390994
X 1067039  Y 1398065
X 1074110  Y 1419278
X 1059968  Y 1419278
X 1067039  Y 1426350
X 1074110  Y 1433421
X 1067039  Y 1454634
X 1074110  Y 1461705
X 1067039  Y 1468776
X 1074110  Y 1475847
X 1059968  Y 1475847
X 1071110  Y 1483159
X 1074110  Y 1489989
X 1059968  Y 1489989
X 1067039  Y 1497060
X 1060110  Y 1499659
X 1074110  Y 1504131
X 1067039  Y 1511202
X 1059968  Y 1518273
X 1074110  Y 1518273
X 1067039  Y 1525345
X 1074110  Y 1532416
X 1059968  Y 1532416
X 1067039  Y 1539487
X 1081181  Y 1539487
X 1095323  Y 1539487
X 1102394  Y 1532416
X 1088252  Y 1532416
X 1081181  Y 1525345
X 1095323  Y 1525345
X 1102394  Y 1518273
X 1088252  Y 1518273
X 1081181  Y 1511202
X 1095323  Y 1511202
X 1102394  Y 1504131
X 1088252  Y 1504131
X 1081181  Y 1497060
X 1095323  Y 1497060
X 1102900  Y 1496500
X 1088252  Y 1489989
X 1095323  Y 1482918
X 1080000  Y 1481900
X 1102394  Y 1475847
X 1088252  Y 1475847
X 1081181  Y 1468776
X 1095323  Y 1468776
X 1102394  Y 1461705
X 1088252  Y 1461705
X 1081181  Y 1454634
X 1095323  Y 1454634
X 1102394  Y 1447563
X 1088252  Y 1447563
X 1081181  Y 1440492
X 1095323  Y 1440492
X 1102394  Y 1433421
X 1088252  Y 1433421
X 1081181  Y 1426350
X 1095323  Y 1426350
X 1102394  Y 1419278
X 1088252  Y 1419278
X 1095323  Y 1412207
X 1102394  Y 1405136
X 1081181  Y 1398065
X 1102394  Y 1390994
X 1088252  Y 1390994
X 1081181  Y 1383923
X 1102394  Y 1376852
X 1088252  Y 1376852
X 1102394  Y 1362710
X 1088252  Y 1362710
X 1101763  Y 1360028
X 1087832  Y 1350941
X 1102394  Y 1348568
X 1088446  Y 1346054
X 1098802  Y 1342205
X 1086562  Y 1339645
X 1098802  Y 1338794
X 1080667  Y 1338275
X 1098802  Y 1335631
X 1102394  Y 1334426
X 1088252  Y 1334426
X 1094610  Y 1327659
X 1081181  Y 1327355
X 1088252  Y 1320284
X 1081181  Y 1313212
X 1098610  Y 1308659
X 1088252  Y 1306141
X 1098610  Y 1305159
X 1081181  Y 1299070
X 1103320  Y 1297319
X 1098100  Y 1292100
X 1088252  Y 1291999
X 1098400  Y 1273300
X 1081181  Y 1270786
X 1101900  Y 1269500
X 1101800  Y 1264100
X 1081181  Y 1256644
X 1095323  Y 1256644
X 1102394  Y 1249573
X 1088252  Y 1249573
X 1082906  Y 1242800
X 1091700  Y 1240000
X 1093900  Y 1233900
X 1081181  Y 1228360
X 1081210  Y 1225459
X 1086610  Y 1225359
X 1083710  Y 1223559
X 1090010  Y 1222759
X 1102394  Y 1221289
X 1095310  Y 1218459
X 1089310  Y 1217859
X 1081181  Y 1214218
X 1090910  Y 1209759
X 1099364  Y 1203723
X 1081181  Y 1200075
X 1090375  Y 1197855
X 1078900  Y 1196912
X 1086210  Y 1195259
X 1091600  Y 1195237
X 1078910  Y 1193759
X 1102394  Y 1193004
X 1096900  Y 1192400
X 1091436  Y 1190202
X 1102800  Y 1189600
X 1100268  Y 1189531
X 1101510  Y 1183359
X 1092210  Y 1182359
X 1080410  Y 1182359
X 1087910  Y 1181259
X 1083510  Y 1179859
X 1080510  Y 1179559
X 1080000  Y 1176000
X 1082900  Y 1175900
X 1086100  Y 1175700
X 1079900  Y 1172000
X 1082900  Y 1171700
X 1094010  Y 1164759
X 1088252  Y 1164720
X 1095323  Y 1157649
X 1081181  Y 1157649
X 1079000  Y 1149076
X 1095323  Y 1143507
X 1090192  Y 1142900
X 1080800  Y 1142013
X 1087800  Y 1140149
X 1095323  Y 1129365
X 1088186  Y 1127213
X 1103285  Y 1127213
X 1083715  Y 1123927
X 1095157  Y 1123927
X 1081110  Y 1101359
X 1099566  Y 1100746
X 1093259  Y 1094493
X 1093759  Y 1084293
X 1098059  Y 1083993
X 1082259  Y 1079593
X 1088110  Y 1075793
